id,name,family,safety,suggested_ns_color,confidence,reason
"a5a830d0-6b92-4e48-809a-5296f08cc20d","R3 Anchor","Balance","yellow","Amber","medium","ambiguous family 'Balance' + safety=yellow → Amber"
"1dbd240b-ff53-4665-b629-fc584be53dcb","Sahrmann Level 1: Rotational Control (Low Threshold): Alternate single leg heel touch","Balance","yellow","Amber","medium","ambiguous family 'Balance' + safety=yellow → Amber"
"674ee272-67c4-4737-bf61-ade34e6624f9","7. Balance deficit","Balance","yellow","Amber","medium","ambiguous family 'Balance' + safety=yellow → Amber"
"59d442f0-f5bf-4c2b-9d97-38ceddb30c17","Sahrmann Level 3: Rotational Strengthening: Alternate single leg unsupported extension","Balance","yellow","Amber","medium","ambiguous family 'Balance' + safety=yellow → Amber"
"04efdad5-b604-4977-9f2d-f6ac9e8adfc6","Lose stack / Wobble / Compensate","Balance","yellow","Amber","medium","ambiguous family 'Balance' + safety=yellow → Amber"
"2c7a14e3-a0e8-4c6b-90f3-e179ac7648e4","Sahrmann Level 2: Rotational Strengthening (High): Alternate single leg supported slide","Balance","yellow","Amber","medium","ambiguous family 'Balance' + safety=yellow → Amber"
"4489d7ce-1fc3-4b1e-b409-c38a8bc65535","Phase 4: Integration","Balance","yellow","Amber","medium","ambiguous family 'Balance' + safety=yellow → Amber"
"13d7a450-338c-4ac1-8ed6-7bee41d845f9","Orienting + Soft Exhale","Breathe","green","Green","medium","movement family 'Breathe' is typically Green"
"08a4e102-43a8-4ee1-a7dc-012cb082ee1e","Respiratory Diaphragm Baseline","Breathe","green","Green","medium","movement family 'Breathe' is typically Green"
"e5c9eb49-c4fa-402e-b7b0-fcec064f1dcf","Myers","Breathe","green","Green","medium","movement family 'Breathe' is typically Green"
"e1740cfa-f91f-4be8-b950-bea0c96855fe","Level 1 Static Opener (Lumbar)","Breathe","yellow","Green","medium","movement family 'Breathe' is typically Green"
"75646e64-3d50-4f3f-bd87-695924dd18a4","Median Nerve / Pronator Dynamic Closer with Massage","Breathe","yellow","Green","medium","movement family 'Breathe' is typically Green"
"c891344b-69bb-4b18-9c9e-9e6fe291fc5a","MOSO Integration","Breathe","green","Green","medium","movement family 'Breathe' is typically Green"
"d08f7967-2f37-4a34-8888-252b09c1a1c5","Mathematical Progression Matrix","Breathe","green","Green","medium","movement family 'Breathe' is typically Green"
"b6bd885a-7332-4c7a-be06-7c20ec019320","Settle (Orienting)","Breathe","yellow","Green","medium","movement family 'Breathe' is typically Green"
